version,team,continent,is_host,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,losses_last_4y,draws_last_4y,world_cup_titles_before,squad_total_market_value_eur,fifa_rank_pre_tournament,fifa_points_pre_tournament,squad_avg_age,world_cup_participations_before,groups_passed_before,round16_before,quarterfinals_before,semifinals_before,finals_before,winner,finalist,semi_finalist,quarter_finalist,goal_difference_last_4y,win_rate_last_4y,clean_sheets_last_4y,tournament_win_rate_last_4y,goals_scored_last_2y,wins_last_2y,shootout_wins_before,shootout_losses_before,shootout_win_rate
2006,Angola,Africa,0,61,49,19,13,14,0,52700000.0,57,581.0,29.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12,0.413,16,0.4815,36,12,6,0,1.0
2006,Argentina,South America,0,97,55,31,10,10,2,777200000.0,9,746.0,27.8,13,10,5,6,4,4,0.0,0.0,0.0,1.0,42,0.6078,17,0.5484,65,19,9,3,0.75
2006,Australia,Oceania,0,101,34,23,8,5,0,48030000.0,42,612.0,27.1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,67,0.6389,14,0.7,48,12,3,2,0.6
2006,Brazil,South America,0,117,47,30,9,17,5,858500000.0,1,827.0,27.1,17,15,7,11,9,6,0.0,0.0,0.0,1.0,70,0.5357,25,0.5814,80,18,5,3,0.625
2006,Costa Rica,North America,0,89,84,26,25,11,0,18400000.0,26,683.0,24.7,2,1,1,0,0,0,0.0,0.0,0.0,0.0,5,0.4194,18,0.4762,58,15,1,1,0.5
2006,Croatia,Europe,0,72,45,22,10,14,0,282300000.0,23,686.0,28.2,2,1,1,1,1,0,0.0,0.0,0.0,0.0,27,0.4783,20,0.5385,44,11,2,0,1.0
2006,Czech Republic,Europe,0,113,37,33,7,5,0,172800000.0,2,772.0,28.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,76,0.7333,21,0.8148,59,19,1,1,0.5
2006,Ecuador,South America,0,59,73,17,22,12,0,387830000.0,39,631.0,25.7,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-14,0.3333,15,0.3913,37,11,2,1,0.6667
2006,England,Europe,0,83,42,27,7,8,1,1620000000.0,10,741.0,27.2,11,9,4,7,2,1,0.0,0.0,0.0,1.0,41,0.6429,16,0.68,50,17,1,5,0.1667
2006,France,Europe,0,100,23,33,3,13,1,1350000000.0,8,749.0,26.8,11,6,4,5,4,1,0.0,1.0,1.0,1.0,77,0.6735,31,0.7143,38,13,4,3,0.5714
2006,Germany,Europe,1,107,66,26,12,14,3,776500000.0,19,696.0,27.7,15,15,7,13,10,7,0.0,0.0,1.0,1.0,41,0.5,22,0.5714,69,15,4,2,0.6667
2006,Ghana,Africa,0,58,39,15,13,12,0,191280000.0,48,600.0,26.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,0.375,13,0.5263,32,10,4,4,0.5
2006,Iran,Asia,0,113,44,32,8,10,0,38880000.0,23,686.0,29.2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,69,0.64,21,0.6765,75,22,8,10,0.4444
2006,Italy,Europe,0,71,33,25,5,15,3,838500000.0,13,728.0,26.5,15,10,7,8,7,5,1.0,1.0,1.0,1.0,38,0.5556,19,0.5652,36,13,2,4,0.3333
2006,Ivory Coast,Africa,0,67,34,21,8,8,0,410900000.0,32,669.0,25.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33,0.5676,17,0.6,40,13,7,4,0.6364
2006,Japan,Asia,0,111,63,36,17,15,0,262200000.0,18,705.0,26.3,2,1,1,0,0,0,0.0,0.0,0.0,0.0,48,0.5294,34,0.5854,79,25,3,3,0.5
2006,Mexico,North America,0,126,54,37,15,15,0,165800000.0,4,758.0,27.8,12,5,4,2,0,0,0.0,0.0,0.0,0.0,72,0.5522,32,0.6667,107,30,3,7,0.3
2006,Netherlands,Europe,0,88,30,28,7,12,0,766000000.0,3,768.0,27.0,7,7,5,4,3,2,0.0,0.0,0.0,0.0,58,0.5957,27,0.6667,47,15,1,5,0.1667
2006,Paraguay,South America,0,53,49,18,12,17,0,141850000.0,33,653.0,29.1,6,3,3,0,0,0,0.0,0.0,0.0,0.0,4,0.383,17,0.44,35,11,2,5,0.2857
2006,Poland,Europe,0,102,54,32,14,7,0,214500000.0,29,677.0,27.6,6,5,2,2,2,0,0.0,0.0,0.0,0.0,48,0.6038,23,0.65,55,17,1,0,1.0
2006,Portugal,Europe,0,104,35,29,6,12,0,864500000.0,7,750.0,27.0,3,1,0,1,1,0,0.0,0.0,1.0,1.0,69,0.617,23,0.65,62,18,1,0,1.0
2006,Saudi Arabia,Asia,0,109,59,31,16,18,0,30350000.0,34,651.0,27.2,3,1,1,0,0,0,0.0,0.0,0.0,0.0,50,0.4769,30,0.7027,53,14,7,1,0.875
2006,Serbia,Europe,0,46,42,13,13,12,0,294500000.0,44,610.0,26.9,9,7,2,5,2,0,0.0,0.0,0.0,0.0,4,0.3421,16,0.5,27,9,1,1,0.5
2006,South Korea,Asia,0,103,45,30,17,17,0,139750000.0,29,677.0,27.9,6,1,1,1,1,0,0.0,0.0,0.0,0.0,58,0.4688,34,0.5278,57,20,12,8,0.6
2006,Spain,Europe,0,88,23,29,2,14,0,1310000000.0,5,756.0,26.6,11,7,5,4,0,0,0.0,0.0,0.0,0.0,65,0.6444,26,0.5357,46,15,2,3,0.4
2006,Sweden,Europe,0,103,52,22,12,18,0,363780000.0,16,709.0,26.3,10,7,3,4,3,1,0.0,0.0,0.0,0.0,51,0.4231,18,0.5862,54,11,3,1,0.75
2006,Switzerland,Europe,0,64,46,17,9,13,0,322100000.0,35,648.0,27.9,7,4,3,3,0,0,0.0,0.0,0.0,0.0,18,0.4359,11,0.3913,36,9,1,1,0.5
2006,Togo,Africa,0,44,37,17,12,5,0,29750000.0,61,569.0,25.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,0.5,14,0.5238,28,11,3,1,0.75
2006,Trinidad and Tobago,North America,0,99,95,32,30,11,0,10100000.0,47,604.0,24.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.4384,26,0.5,73,24,1,1,0.5
2006,Tunisia,Africa,0,76,44,26,9,14,0,50600000.0,21,693.0,25.6,3,0,0,0,0,0,0.0,0.0,0.0,0.0,32,0.5306,21,0.52,45,13,5,3,0.625
2006,Ukraine,Europe,0,46,30,15,9,16,0,266700000.0,45,609.0,26.6,0,0,0,0,0,0,0.0,0.0,0.0,1.0,16,0.375,19,0.45,31,12,0,1,0.0
2006,United States,North America,0,108,38,38,10,13,0,350700000.0,5,756.0,26.3,7,4,3,2,1,0,0.0,0.0,0.0,0.0,70,0.623,36,0.5833,71,24,4,2,0.6667
2018,Argentina,South America,0,95,40,27,8,12,2,678320000.0,5,1241.0,29.52,16,13,8,9,5,5,0.0,0.0,0.0,0.0,55,0.5745,29,0.5385,41,12,11,8,0.5789
2018,Australia,Oceania,0,85,48,23,11,12,0,50210000.0,36,718.0,28.13,4,1,1,0,0,0,0.0,0.0,0.0,0.0,37,0.5,17,0.5758,33,9,3,3,0.5
2018,Belgium,Europe,0,116,38,30,5,8,0,753250000.0,3,1298.0,27.59,12,8,7,2,1,0,0.0,0.0,1.0,1.0,78,0.6977,21,0.7667,73,17,2,0,1.0
2018,Brazil,South America,0,95,22,33,4,8,5,980020000.0,2,1430.0,28.6,20,18,10,14,10,6,0.0,0.0,0.0,1.0,73,0.7333,27,0.5455,47,17,8,5,0.6154
2018,Colombia,South America,0,57,37,19,11,13,0,250850000.0,16,985.0,28.39,5,2,2,1,0,0,0.0,0.0,0.0,0.0,20,0.4419,22,0.4545,27,8,6,2,0.75
2018,Costa Rica,North America,0,70,59,21,15,13,0,39960000.0,23,884.0,29.78,4,2,2,1,0,0,0.0,0.0,0.0,0.0,11,0.4286,19,0.4595,36,13,2,4,0.3333
2018,Croatia,Europe,0,78,29,25,8,10,0,363640000.0,20,945.0,27.9,4,1,1,1,1,0,0.0,1.0,1.0,1.0,49,0.5814,22,0.5714,33,12,2,3,0.4
2018,Denmark,Europe,0,61,36,17,11,12,0,259040000.0,12,1051.0,27.14,4,3,3,1,0,0,0.0,0.0,0.0,0.0,25,0.425,14,0.4583,35,10,2,3,0.4
2018,Egypt,Africa,0,50,27,23,13,7,0,197030000.0,45,649.0,28.98,2,1,1,0,0,0,0.0,0.0,0.0,0.0,23,0.5349,22,0.52,22,11,12,6,0.6667
2018,England,Europe,0,79,28,29,5,10,1,873130000.0,12,1050.0,26.05,14,11,6,8,2,1,0.0,0.0,1.0,1.0,51,0.6591,26,0.7037,31,12,1,7,0.125
2018,France,Europe,0,96,45,33,8,8,1,1029470000.0,7,1198.0,26.03,14,8,6,7,5,2,1.0,1.0,1.0,1.0,51,0.6735,23,0.6818,55,18,4,4,0.5
2018,Germany,Europe,0,111,46,30,10,10,4,882120000.0,1,1558.0,27.14,18,18,10,16,13,8,0.0,0.0,0.0,0.0,65,0.6,24,0.7895,70,19,6,2,0.75
2018,Iceland,Europe,0,85,64,24,18,9,0,75380000.0,22,908.0,28.58,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0.4706,17,0.6,46,14,0,0,0.0
2018,Iran,Asia,0,84,22,30,4,9,0,46750000.0,37,708.0,27.23,4,0,0,0,0,0,0.0,0.0,0.0,0.0,62,0.6977,28,0.6,35,15,8,12,0.4
2018,Japan,Asia,0,107,50,28,12,11,0,75520000.0,61,520.0,28.58,5,2,2,0,0,0,0.0,0.0,0.0,0.0,57,0.549,22,0.575,38,11,5,6,0.4545
