group,team
A,Czech Republic
A,Mexico
A,South Africa
A,South Korea
B,Australia
B,Paraguay
B,Turkey
B,United States
C,Bosnia and Herzegovina
C,Canada
C,Qatar
C,Switzerland
D,Brazil
D,Haiti
D,Morocco
D,Scotland
E,Curaçao
E,Ecuador
E,Germany
E,Ivory Coast
F,Japan
F,Netherlands
F,Sweden
F,Tunisia
G,Belgium
G,Egypt
G,Iran
G,New Zealand
H,Cape Verde
H,Saudi Arabia
H,Spain
H,Uruguay
I,Algeria
I,Argentina
I,Austria
I,Jordan
J,France
J,Iraq
J,Norway
J,Senegal
K,Colombia
K,DR Congo
K,Portugal
K,Uzbekistan
L,Croatia
L,England
L,Ghana
L,Panama
