group,team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points
A,Mexico,3,3,0,0,6,0,6,9
A,South Africa,3,1,1,1,2,3,-1,4
A,South Korea,3,1,0,2,2,3,-1,3
A,Czech Republic,3,0,1,2,2,6,-4,1
B,United States,2,2,0,0,6,1,5,6
B,Australia,2,1,0,1,2,2,0,3
B,Paraguay,2,1,0,1,2,4,-2,3
B,Turkey,2,0,0,2,0,3,-3,0
C,Switzerland,3,2,1,0,7,3,4,7
C,Canada,3,1,1,1,8,3,5,4
C,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4
C,Qatar,3,0,1,2,2,10,-8,1
D,Brazil,3,2,1,0,7,1,6,7
D,Morocco,3,2,1,0,6,3,3,7
D,Scotland,3,1,0,2,1,4,-3,3
D,Haiti,3,0,0,3,2,8,-6,0
E,Germany,2,2,0,0,9,2,7,6
E,Ivory Coast,2,1,0,1,2,2,0,3
E,Ecuador,2,0,1,1,0,1,-1,1
E,Curaçao,2,0,1,1,1,7,-6,1
F,Netherlands,2,1,1,0,7,3,4,4
F,Japan,2,1,1,0,6,2,4,4
F,Sweden,2,1,0,1,6,6,0,3
F,Tunisia,2,0,0,2,1,9,-8,0
G,Egypt,2,1,1,0,4,2,2,4
G,Belgium,2,0,2,0,1,1,0,2
G,Iran,2,0,2,0,2,2,0,2
G,New Zealand,2,0,1,1,3,5,-2,1
H,Spain,2,1,1,0,4,0,4,4
H,Cape Verde,2,0,2,0,2,2,0,2
H,Uruguay,2,0,2,0,3,3,0,2
H,Saudi Arabia,2,0,1,1,1,5,-4,1
I,Argentina,2,2,0,0,5,0,5,6
I,Austria,2,1,0,1,3,3,0,3
I,Algeria,2,1,0,1,2,4,-2,3
I,Jordan,2,0,0,2,2,5,-3,0
J,France,2,2,0,0,6,1,5,6
J,Norway,2,2,0,0,7,3,4,6
J,Senegal,2,0,0,2,3,6,-3,0
J,Iraq,2,0,0,2,1,7,-6,0
K,Colombia,2,2,0,0,4,1,3,6
K,Portugal,2,1,1,0,6,1,5,4
K,DR Congo,2,0,1,1,1,2,-1,1
K,Uzbekistan,2,0,0,2,1,8,-7,0
L,England,2,1,1,0,4,2,2,4
L,Ghana,2,1,1,0,1,0,1,4
L,Croatia,2,1,0,1,3,4,-1,3
L,Panama,2,0,0,2,0,2,-2,0
